date,year,month,consumption_index
Jan-14,2014,1,106.373723
Feb-14,2014,2,105.1223751
Mar-14,2014,3,109.9676864
Apr-14,2014,4,100.2678007
May-14,2014,5,101.9488232
Jun-14,2014,6,102.3247106
Jul-14,2014,7,101.8704104
Aug-14,2014,8,102.2853191
Sep-14,2014,9,103.9438402
Oct-14,2014,10,103.2043051
Nov-14,2014,11,104.3148956
Dec-14,2014,12,104.1221804
Jan-15,2015,1,102.8187155
Feb-15,2015,2,103.2162373
Mar-15,2015,3,103.4205853
Apr-15,2015,4,102.6492642
May-15,2015,5,103.0416395
Jun-15,2015,6,103.4239608
Jul-15,2015,7,104.0460452
Aug-15,2015,8,104.7619504
Sep-15,2015,9,104.1724105
Oct-15,2015,10,104.5547962
Nov-15,2015,11,103.5997079
Dec-15,2015,12,103.2614508
Jan-16,2016,1,103.5402595
Feb-16,2016,2,103.3984492
Mar-16,2016,3,104.1664898
Apr-16,2016,4,102.7810392
May-16,2016,5,103.4128158
Jun-16,2016,6,103.2918513
Jul-16,2016,7,103.5349906
Aug-16,2016,8,103.4620417
Sep-16,2016,9,103.6308093
Oct-16,2016,10,103.8888172
Nov-16,2016,11,103.9
Dec-16,2016,12,103.77216
Jan-17,2017,1,104.0190052
Feb-17,2017,2,104.1246811
Mar-17,2017,3,104.823319
Apr-17,2017,4,105.4907566
May-17,2017,5,104.6573641
Jun-17,2017,6,104.5518725
Jul-17,2017,7,105.0185716
Aug-17,2017,8,104.4106015
Sep-17,2017,9,104.4175617
Oct-17,2017,10,104.1641458
Nov-17,2017,11,105.242455
Dec-17,2017,12,105.5970108
Jan-18,2018,1,105.2475187
Feb-18,2018,2,105.5247829
Mar-18,2018,3,105.1175164
Apr-18,2018,4,105.6063772
May-18,2018,5,105.3039045
Jun-18,2018,6,105.7290424
Jul-18,2018,7,105.9831927
Aug-18,2018,8,105.949533
Sep-18,2018,9,104.7744273
Oct-18,2018,10,106.1427929
Nov-18,2018,11,105.8087306
Dec-18,2018,12,106.2699291
Jan-19,2019,1,106.6633207
Feb-19,2019,2,106.1943127
Mar-19,2019,3,106.1170272
Apr-19,2019,4,106.729823
May-19,2019,5,107.1123101
Jun-19,2019,6,106.8320087
Jul-19,2019,7,105.2961651
Aug-19,2019,8,106.8932487
Sep-19,2019,9,110.5605569
Oct-19,2019,10,100.5642398
Nov-19,2019,11,103.0517974
Dec-19,2019,12,103.8734339
Jan-20,2020,1,103.8230199
Feb-20,2020,2,102.8148421
Mar-20,2020,3,95.92324424
Apr-20,2020,4,84.95752433
May-20,2020,5,83.22252675
Jun-20,2020,6,95.43620357
Jul-20,2020,7,94.91051369
Aug-20,2020,8,96.02966846
Sep-20,2020,9,97.63095145
Oct-20,2020,10,98.1224625
Nov-20,2020,11,98.8131191
Dec-20,2020,12,99.02433487
Jan-21,2021,1,96.12034813
Feb-21,2021,2,97.01653376
Mar-21,2021,3,98.31597622
